노선번호,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,지나는 지역구 거주민 평균 (반올림),지나는 지역구 거주민 합,노선별 겹치는 노선 수,환승 비율 총 승객수,총승차승객수,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,한번더해봄
N1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,278217,1669302,79,1992202,662127,3451,419,1,0,6822,9382,18230,44005,53977,36252,27795,28537,33869,35350,35592,40522,46546,48026,56894,39036,30665,27831,24846,9403,657451
N406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,335421,1341685,81,731567,572059,2209,148,3,0,2871,5126,13634,37779,50147,33219,23040,23180,27102,28258,28966,33855,40280,44861,52764,35981,28458,26189,23447,6788,568305
N343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,603327,1206653,18,130167,256404,1597,178,1,0,743,3578,8323,17699,22678,15206,10171,9330,10462,10989,12371,14906,17701,19894,22133,15817,11442,12018,13523,6143,256903
